scenario,robots,rep,seed,score
i_foraging_s1,42,10,6171,2
i_foraging_s1,44,1,6339,8
i_foraging_s1,44,2,4913,6
i_foraging_s1,44,3,2429,4
i_foraging_s1,44,4,7848,3
i_foraging_s1,44,5,4052,3
i_foraging_s1,44,6,6281,4
i_foraging_s1,44,7,4245,8
i_foraging_s1,44,8,7668,9
i_foraging_s1,44,9,2880,4
i_foraging_s1,44,10,3545,5
i_foraging_s1,46,1,9803,5
i_foraging_s1,46,2,2489,6
i_foraging_s1,46,3,6797,3
i_foraging_s1,46,4,6364,3
i_foraging_s1,46,5,6127,6
i_foraging_s1,46,6,3626,3
i_foraging_s1,46,7,4547,2
i_foraging_s1,46,8,2657,5
i_foraging_s1,46,9,6033,4
i_foraging_s1,46,10,3183,4
i_foraging_s1,48,1,5893,4
i_foraging_s1,48,2,2608,4
i_foraging_s1,48,3,2280,4
i_foraging_s1,48,4,8540,4
i_foraging_s1,48,5,3609,6
i_foraging_s1,48,6,6992,6
i_foraging_s1,48,7,5335,4
i_foraging_s1,48,8,5642,5
i_foraging_s1,48,9,6594,3
i_foraging_s1,48,10,2123,7
i_foraging_s1,50,1,6582,5
i_foraging_s1,50,2,1817,0
i_foraging_s1,50,3,3182,2
i_foraging_s1,50,4,6268,5
i_foraging_s1,50,5,2989,3
i_foraging_s1,50,6,8241,5
i_foraging_s1,50,7,8479,2
i_foraging_s1,50,8,9652,3
i_foraging_s1,50,9,4108,3
i_foraging_s1,50,10,6283,0
foraging_s2,10,1,1793,2
foraging_s2,10,2,2125,1
foraging_s2,10,3,1090,3
foraging_s2,10,4,9911,4
foraging_s2,10,5,3506,1
foraging_s2,10,6,4514,5
foraging_s2,10,7,6977,0
foraging_s2,10,8,5190,3
foraging_s2,10,9,9145,1
foraging_s2,10,10,6521,3
foraging_s3,10,1,3744,3
foraging_s3,10,2,6359,5
foraging_s3,10,3,3906,3
foraging_s3,10,4,4229,3
foraging_s3,10,5,6722,3
foraging_s3,10,6,3864,4
foraging_s3,10,7,4576,8
foraging_s3,10,8,2770,5
foraging_s3,10,9,1890,2
foraging_s3,10,10,1386,4
foraging_s4,10,1,4020,1
foraging_s4,10,2,5152,2
foraging_s4,10,3,5378,5
foraging_s4,10,4,3152,3
foraging_s4,10,5,2181,2
foraging_s4,10,6,6127,4
foraging_s4,10,7,3016,6
foraging_s4,10,8,6011,4
foraging_s4,10,9,5443,2
foraging_s4,10,10,4824,4
